sequence,record_type,poi_name,found_date,location_displayed,sender,screenshot_path,original_filename,sha256,byte_identical_occurrence_group,rating,recommendation,research_confidence,research_status,research_summary,confirmed_facts,inferences,unresolved_questions,source_urls,star_visible_in_screenshot,deletion_toast_visible,chat_occurrences,screenshot_notes,notes_from_insertion
1,postcard,騎海馬,2026-07-31,"Yanliao Village, Shoufeng Township",Yumi,screenshots/001_2026-07-31_騎海馬.jpeg,4D5D334B-8877-4DFE-B48A-A7CE1A801105.jpeg,9eb70c1f84c10204438464a1af111e0404b1eef9c983740f782c5b825d998408,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
2,postcard,石城社區活動中心,2026-08-02,"Taixing Village, Dongshi District",Yeii,screenshots/002_2026-08-02_石城社區活動中心.png,9A8F2907-E5B2-4A67-BCFD-5901889CF63A.png,34d36d05c2a136d32c83584ed19e29bffd04203a1bbab6dbd1353c31d794cbcb,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
3,postcard,紫荊廊,2026-05-27,Wan Chai,Sha,screenshots/003_2026-05-27_紫荊廊.png,C88252D9-331C-4F20-9480-17C46AC855AE.png,ce44c1447416e4a5dc72ef61c02ad8c0a5e210c668dc2b94d317afc886741669,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
4,postcard,伊切町八幡神社,2026-08-01,"Kaga, Ikirimachi",V,screenshots/004_2026-08-01_伊切町八幡神社.jpeg,97B0C290-0F9B-4F86-98ED-403A407E62F0.jpeg,d6c67fce06cf3224af1921a47d68513dc5cf422608569ccc0323eef434be7903,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
5,postcard,野森動物學校-狐狸谷-星月水鐵所,2026-05-17,"Neinan Village, Neimen District",C.C.,screenshots/005_2026-05-17_野森動物學校-狐狸谷-星月水鐵所.jpeg,3178AAEE-9629-4B90-924F-6CD8D3B881CC.jpeg,348a900e38d8bf7295e0d85085b0a3f7dc61363e73ab0b55d8d9bd8cc228eb1c,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
6,postcard,東京ディズニーランドELIAS HOTEL,2026-07-31,Urayasu,のすけ,screenshots/006_2026-07-31_東京ディズニーランドELIAS-HOTEL.png,0A225A0F-9A74-4EAA-B3E4-1361C275C1A5.png,0dc7e8f6b399e26c9f72524f7685bb73cc83685138aa9878fefeab90a84b86f9,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
7,postcard,希臘風情城堡建築,2026-04-29,"Alian Village, Alian District",C.C.,screenshots/007_2026-04-29_希臘風情城堡建築.jpeg,D8807252-2D1D-4920-B239-6D0179106C6A.jpeg,0085f43fa2cea850b11fb50cc244b2584fde27153aacab5c254a7c9d2c75e09d,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
8,postcard,布施郵便局,2026-07-31,"Okinoshima, Fuse",V,screenshots/008_2026-07-31_布施郵便局.jpeg,DF6C3A1B-81B4-414E-8EF1-DC12384A6172.jpeg,3e3c81fd9dfbfc888a738152b128eab80af86e7995ecbdc0734838a3794bd53a,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
9,postcard,旋旋轉,2026-06-19,"Telford Gardens, Kowloon Bay",花花,screenshots/009_2026-06-19_旋旋轉.jpeg,FBA77B36-72FF-4042-9875-5DB44ECF20D5.jpeg,c142d120c8678a94dd3033b861ec0965a28a4f8e939f76f965d8ba8ac89f6238,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
10,postcard,“Taking Flight”,2026-07-06,Laramie,Tribble Mountain Time,screenshots/010_2026-07-06_“Taking-Flight”.jpeg,880192F2-F30E-4E53-92BA-A6395A98A0BE.jpeg,a776100403b4bd53c62fa2eabb9f61a6cb9ab361d1c770ddbee64b4b61a50cf6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,True,,,
